trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6556592205741436}",20,6,-8.892012469686119,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.6491026283684022}",20,9,-94.76352435191755,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
44,False,"{'a': 0.2, 'e': 0.6426116020847181}",20,7,20.2078540210487,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.6361854860638709}",30,10,6.360413931877149,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.6298236312032323}",20,0,-70.00130902610555,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.2, 'e': 0.6235253948912}",20,0,-202.3503050409868,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",1
48,False,"{'a': 0.2, 'e': 0.617290140942288}",20,0,-110.36428096792511,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.6111172395328651}",25,18,-4.396669891419517,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.6050060671375365}",20,15,3.731541984394211,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.5989560064661611}",25,7,-35.15162901593804,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.2, 'e': 0.5929664464014994}",25,0,-94.38407334068765,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.5870367819374844}",30,0,-134.17511257421225,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
54,False,"{'a': 0.2, 'e': 0.5811664141181095}",20,6,-6.630074360825548,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.5753547499769285}",20,9,-60.22394171673704,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.5696012024771592}",30,24,7.678167121286633,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.5639051904523876}",35,11,-22.17956792435273,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.5582661385478638}",20,0,19.780555623679568,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.2, 'e': 0.5526834771623851}",25,15,-49.00277821671185,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,6,16.448130787959947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.5416850759668536}",30,5,0.9614339286368354,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.536268225207185}",20,2,-98.73250793932084,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 2}",1
63,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,7,-4.016015823779942,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.525596487525562}",20,0,-0.35219780025141434,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.5203405226503064}",30,0,0.31628439712161716,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.5151371174238033}",25,0,-52.7368405666662,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.5099857462495653}",25,8,-16.067692207073275,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.5048858887870696}",25,10,-137.37307998899007,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 3}",1
69,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,6,-60.58602502040746,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.49483865960020695}",25,0,-68.78404581911514,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.4898902730042049}",20,12,-10.378416694029536,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.48499137027416284}",25,3,-45.387037782996025,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.4801414565714212}",20,0,-3.8370502252928933,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.475340042005707}",25,16,9.787438638293374,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.47058664158564995}",25,7,-62.13255394531311,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.4658807751697934}",20,0,-61.81083917869858,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.4612219674180955}",25,0,12.749087114379604,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.45660974774391455}",30,4,-1.281027971721179,"{0: 22, 1: 3, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.4520436502664754}",30,0,-23.429791065891575,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.44752321376381066}",25,18,15.023248867147247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.44304798162617254}",25,0,-1.4330452809906564,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.4386175018099108}",35,17,-31.051491379110576,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 0.4342313267918117}",25,0,-26.51202601559586,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.2, 'e': 0.4298890135238936}",30,4,-69.97669777166313,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 2}",1
85,False,"{'a': 0.2, 'e': 0.42559012338865465}",20,2,-38.14577617317679,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.2, 'e': 0.4213342221547681}",20,2,-74.29617038877917,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
87,False,"{'a': 0.2, 'e': 0.41712087993322045}",35,13,-20.67747549581629,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.41294967113388825}",30,18,-0.9949801731240839,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.40882017442254937}",20,3,-76.82080057082032,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
90,False,"{'a': 0.2, 'e': 0.4047319726783239}",30,7,3.236039611377508,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
